,userID,index,visitByTheHour,weekOfYear,weekOfYear,dayOfWeek,cluster
60,150,60,6,4,4,5,2
61,127,61,10,13,13,0,2
62,169,62,13,9,9,6,2
63,1,63,19,5,5,0,2
64,141,64,4,1,1,1,2
65,128,65,2,3,3,6,2
66,47,66,4,1,1,2,2
67,146,67,12,3,3,0,2
68,164,68,1,6,6,5,2
69,190,69,7,1,1,0,2
70,148,70,13,3,3,0,2
71,173,71,10,6,6,0,2
72,138,72,23,7,7,3,2
73,153,73,13,10,10,2,2
74,61,74,3,11,11,6,2
75,151,75,12,5,5,3,2
76,196,76,15,1,1,2,2
77,122,77,23,2,2,2,2
78,189,78,18,6,6,0,2
79,119,79,5,5,5,2,2
80,137,80,13,10,10,5,2
81,31,81,13,12,12,2,2
82,41,82,11,5,5,2,2
83,21,83,4,7,7,6,2
84,7,84,2,8,8,4,2
85,56,85,2,9,9,4,2
86,162,86,16,4,4,4,2
87,86,87,14,12,12,1,2
88,167,88,0,6,6,1,2
89,19,89,4,0,0,4,2
90,59,90,9,2,2,0,2
91,28,91,11,12,12,2,2
92,124,92,0,9,9,3,2
93,4,93,7,6,6,3,2
94,109,94,22,3,3,2,2
95,52,95,17,11,11,1,2
96,66,96,3,10,10,1,2
97,72,97,6,5,5,0,2
98,59,98,21,5,5,6,2
99,104,99,9,6,6,0,2
100,192,100,12,13,13,0,2
101,9,101,15,3,3,2,2
102,29,102,9,3,3,0,2
103,100,103,6,6,6,2,2
104,146,104,10,8,8,2,2
105,126,105,18,11,11,4,2
106,38,106,16,12,12,5,2
107,187,107,17,1,1,6,2
108,175,108,14,13,13,6,2
109,181,109,20,9,9,2,2
110,51,110,17,5,5,1,2
111,119,111,0,1,1,2,2
112,111,112,15,3,3,3,2
113,51,113,19,7,7,2,2
114,40,114,2,10,10,2,2
115,161,115,7,12,12,6,2
116,115,116,18,3,3,2,2
117,24,117,6,9,9,5,2
118,34,118,14,1,1,0,2
119,33,119,6,1,1,6,2
120,18,120,18,6,6,6,2
121,36,121,15,7,7,2,2
122,23,122,22,3,3,5,2
123,30,123,2,9,9,1,2
124,54,124,4,4,4,3,2
125,164,125,10,8,8,5,2
126,177,126,17,4,4,1,2
127,101,127,2,2,2,0,2
128,87,128,10,7,7,5,2
129,199,129,4,3,3,3,2
130,59,130,9,2,2,1,2
131,109,131,14,11,11,1,2
132,53,132,15,2,2,1,2
133,188,133,7,5,5,6,2
134,76,134,2,6,6,3,2
135,147,135,2,1,1,2,2
136,75,136,5,9,9,0,2
137,74,137,4,11,11,4,2
138,110,138,15,11,11,5,2
139,126,139,16,3,3,2,2
140,120,140,11,1,1,0,2
141,188,141,4,6,6,0,2
142,185,142,13,6,6,5,2
143,172,143,3,4,4,1,2
144,179,144,7,1,1,0,2
145,181,145,8,12,12,6,2
146,13,146,8,2,2,2,2
147,33,147,20,11,11,6,2
148,191,148,7,8,8,5,2
149,111,149,21,9,9,4,2
150,156,150,20,13,13,1,2
151,92,151,6,4,4,3,2
152,193,152,20,10,10,3,2
153,129,153,14,4,4,2,2
154,146,154,2,12,12,5,2
155,42,155,17,4,4,0,2
156,93,156,19,1,1,6,2
157,173,157,7,2,2,3,2
158,104,158,2,9,9,1,2
159,146,159,13,4,4,6,2
160,73,160,23,9,9,4,2
161,114,161,21,10,10,6,2
162,2,162,16,8,8,2,2
163,139,163,23,11,11,5,2
164,141,164,12,1,1,2,2
165,140,165,10,4,4,6,2
166,81,166,13,11,11,6,2
167,199,167,16,6,6,5,2
168,85,168,8,9,9,0,2
169,103,169,16,1,1,2,2
170,36,170,7,11,11,5,2
171,76,171,22,2,2,4,2
172,197,172,13,2,2,0,2
173,103,173,4,8,8,1,2
174,110,174,4,5,5,4,2
175,188,175,14,2,2,2,2
176,2,176,21,4,4,5,2
177,89,177,13,1,1,4,2
178,72,178,11,6,6,2,2
179,100,179,16,12,12,3,2
180,61,180,3,8,8,6,2
181,196,181,19,10,10,6,2
182,85,182,23,11,11,5,2
183,5,183,5,7,7,6,2
184,192,184,17,4,4,3,2
185,84,185,7,9,9,6,2
186,114,186,15,5,5,0,2
187,158,187,5,11,11,0,2
188,71,188,8,3,3,4,2
189,82,189,14,3,3,5,2
190,82,190,9,3,3,4,2
191,65,191,13,6,6,3,2
192,41,192,10,8,8,5,2
193,155,193,10,8,8,3,2
194,126,194,6,1,1,5,2
195,37,195,2,3,3,6,2
196,158,196,17,11,11,5,2
197,60,197,2,1,1,4,2
198,179,198,15,11,11,0,2
199,6,199,3,3,3,6,2
200,74,200,21,3,3,2,2
201,112,201,21,4,4,5,2
202,81,202,11,9,9,3,2
203,197,203,15,10,10,5,2
204,81,204,21,11,11,2,2
205,92,205,17,12,12,3,2
206,87,206,11,5,5,6,2
207,155,207,2,4,4,5,2
208,56,208,5,5,5,5,2
209,136,209,1,2,2,3,2
210,86,210,14,5,5,5,2
211,79,211,22,11,11,1,2
212,129,212,15,6,6,6,2
213,25,213,12,8,8,5,2
214,64,214,4,6,6,0,2
215,9,215,9,5,5,4,2
216,46,216,8,12,12,3,2
217,23,217,9,10,10,3,2
218,139,218,11,12,12,6,2
219,119,219,8,13,13,2,2
220,17,220,12,8,8,6,2
221,167,221,14,1,1,2,2
222,152,222,21,13,13,1,2
223,134,223,15,2,2,1,2
224,88,224,3,11,11,6,2
225,56,225,4,2,2,1,2
226,127,226,23,7,7,5,2
227,189,227,0,4,4,0,2
228,164,228,20,1,1,1,2
229,18,229,19,11,11,1,2
230,47,230,11,10,10,3,2
231,184,231,23,4,4,1,2
232,155,232,5,8,8,2,2
233,4,233,12,13,13,6,2
234,155,234,4,3,3,4,2
235,151,235,2,7,7,5,2
236,169,236,15,9,9,1,2
237,143,237,19,12,12,4,2
238,124,238,1,2,2,0,2
239,188,239,13,9,9,1,2
240,167,240,19,11,11,1,2
241,133,241,20,9,9,6,2
242,93,242,3,9,9,3,2
243,90,243,18,9,9,6,2
244,162,244,15,9,9,2,2
245,15,245,2,9,9,1,2
246,60,246,16,6,6,3,2
247,143,247,17,2,2,6,2
248,196,248,5,11,11,5,2
249,149,249,8,4,4,1,2
250,188,250,5,3,3,0,2
251,161,251,20,7,7,4,2
252,81,252,13,7,7,4,2
253,34,253,16,7,7,1,2
254,0,254,17,6,6,5,2
255,118,255,21,1,1,4,2
256,96,256,18,12,12,6,2
257,89,257,4,4,4,5,2
258,104,258,6,12,12,5,2
259,102,259,1,9,9,5,2
260,112,260,2,3,3,0,2
261,106,261,18,5,5,2,2
262,88,262,5,8,8,6,2
263,154,263,18,7,7,3,2
264,0,264,12,9,9,5,2
265,14,265,7,1,1,1,2
266,104,266,1,3,3,0,2
267,155,267,4,5,5,6,2
268,100,268,8,4,4,4,2
269,154,269,13,13,13,6,2
270,20,270,9,2,2,1,2
271,56,271,22,6,6,3,2
272,124,272,14,11,11,1,2
273,126,273,6,3,3,0,2
274,104,274,3,3,3,6,2
275,48,275,3,12,12,6,2
276,27,276,23,1,1,0,2
277,65,277,9,1,1,0,2
278,41,278,22,0,0,4,2
279,113,279,18,6,6,0,2
280,119,280,0,8,8,4,2
281,91,281,20,4,4,1,2
282,43,282,8,8,8,6,2
283,134,283,18,4,4,4,2
284,110,284,21,10,10,2,2
285,56,285,4,4,4,2,2
286,100,286,16,10,10,2,2
287,24,287,3,12,12,3,2
288,193,288,8,7,7,3,2
289,98,289,8,0,0,5,2
290,32,290,17,0,0,4,2
291,160,291,2,12,12,3,2
292,173,292,2,4,4,3,2
293,72,293,20,6,6,3,2
294,170,294,12,1,1,3,2
295,184,295,10,5,5,6,2
296,187,296,14,6,6,2,2
297,193,297,21,4,4,2,2
298,114,298,2,3,3,1,2
299,175,299,15,7,7,4,2
300,98,300,20,4,4,3,2
301,82,301,18,7,7,6,2
302,38,302,0,1,1,5,2
303,47,303,17,9,9,5,2
304,18,304,3,7,7,6,2
305,36,305,17,10,10,6,2
306,159,306,17,12,12,6,2
307,33,307,15,2,2,3,2
308,174,308,2,11,11,2,2
309,142,309,2,9,9,1,2
310,145,310,14,3,3,2,2
311,56,311,8,4,4,4,2
312,12,312,21,7,7,2,2
313,54,313,13,12,12,4,2
314,26,314,20,0,0,5,2
315,174,315,6,9,9,1,2
316,198,316,16,6,6,5,2
317,66,317,0,6,6,3,2
318,32,318,20,13,13,2,2
319,56,319,16,9,9,6,2
320,192,320,14,12,12,6,2
321,124,321,15,3,3,4,2
322,36,322,0,8,8,1,2
323,128,323,1,1,1,3,2
324,153,324,18,11,11,0,2
325,43,325,23,3,3,3,2
326,86,326,1,2,2,0,2
327,103,327,6,1,1,5,2
328,0,328,16,3,3,2,2
329,21,329,8,8,8,3,2
330,116,330,10,3,3,4,2
331,71,331,13,2,2,1,2
332,89,332,1,12,12,3,2
333,122,333,0,2,2,2,2
334,161,334,20,11,11,0,2
335,21,335,2,4,4,5,2
336,132,336,11,4,4,5,2
337,140,337,2,5,5,5,2
338,136,338,4,10,10,1,2
339,88,339,10,9,9,4,2
340,44,340,14,6,6,2,2
341,200,341,14,8,8,3,2
342,105,342,15,9,9,3,2
343,162,343,2,5,5,1,2
344,175,344,21,1,1,6,2
345,133,345,12,3,3,4,2
346,16,346,1,1,1,2,2
347,141,347,1,3,3,1,2
348,109,348,14,10,10,3,2
349,187,349,7,2,2,0,2
350,5,350,12,11,11,3,2
351,160,351,1,7,7,1,2
352,0,352,18,12,12,4,2
353,90,353,8,0,0,4,2
354,71,354,6,11,11,1,2
355,89,355,11,7,7,1,2
356,103,356,12,9,9,5,2
357,6,357,6,10,10,3,2
358,162,358,22,8,8,2,2
359,66,359,6,6,6,6,2
360,142,360,5,2,2,2,2
361,75,361,5,8,8,4,2
362,187,362,18,1,1,3,2
363,134,363,0,10,10,2,2
364,125,364,0,8,8,3,2
365,135,365,17,4,4,6,2
366,30,366,19,10,10,1,2
367,37,367,21,7,7,2,2
368,63,368,22,9,9,1,2
369,168,369,16,5,5,0,2
370,125,370,19,1,1,0,2
371,8,371,11,8,8,2,2
372,196,372,7,13,13,1,2
373,110,373,6,11,11,0,2
374,71,374,7,3,3,1,2
375,91,375,14,11,11,4,2
376,134,376,4,7,7,6,2
377,15,377,0,6,6,5,2
378,145,378,11,7,7,1,2
379,94,379,20,12,12,0,2
380,22,380,22,12,12,4,2
381,136,381,16,2,2,2,2
382,53,382,11,8,8,6,2
383,86,383,9,7,7,3,2
384,102,384,7,6,6,0,2
385,150,385,16,3,3,1,2
386,28,386,3,4,4,2,2
387,173,387,13,7,7,0,2
388,53,388,3,9,9,4,2
389,86,389,2,10,10,6,2
390,20,390,17,3,3,2,2
391,105,391,16,6,6,6,2
392,45,392,22,9,9,4,2
393,156,393,23,6,6,0,2
394,67,394,23,4,4,6,2
395,175,395,1,9,9,2,2
396,123,396,1,5,5,3,2
397,12,397,6,4,4,5,2
398,71,398,10,5,5,3,2
399,98,399,18,8,8,0,2
400,191,400,0,13,13,6,2
401,80,401,18,7,7,0,2
402,150,402,20,3,3,0,2
403,128,403,5,3,3,4,2
404,14,404,9,8,8,4,2
405,124,405,3,11,11,2,2
406,26,406,20,9,9,6,2
407,83,407,22,9,9,3,2
408,106,408,10,5,5,5,2
409,196,409,21,5,5,6,2
410,141,410,7,7,7,4,2
411,173,411,11,10,10,5,2
412,4,412,1,7,7,2,2
413,194,413,16,11,11,1,2
414,7,414,3,12,12,2,2
415,43,415,6,6,6,6,2
416,153,416,16,11,11,6,2
417,176,417,11,10,10,6,2
418,124,418,13,6,6,6,2
419,190,419,20,5,5,0,2
420,191,420,11,11,11,6,2
421,149,421,18,3,3,0,2
422,77,422,0,5,5,6,2
423,92,423,23,0,0,5,2
424,69,424,9,5,5,2,2
425,178,425,16,7,7,1,2
426,76,426,2,7,7,3,2
427,195,427,6,10,10,0,2
428,132,428,4,13,13,2,2
429,24,429,13,10,10,1,2
430,44,430,15,12,12,3,2
431,192,431,17,7,7,6,2
432,144,432,8,10,10,2,2
433,139,433,0,4,4,6,2
434,147,434,19,11,11,0,2
435,90,435,23,12,12,6,2
436,173,436,20,10,10,0,2
437,193,437,9,1,1,4,2
438,174,438,19,13,13,1,2
439,74,439,0,8,8,1,2
440,116,440,2,9,9,1,2
441,46,441,6,7,7,4,2
442,76,442,15,3,3,4,2
443,49,443,23,5,5,1,2
444,0,444,2,12,12,2,2
445,161,445,14,7,7,2,2
446,86,446,0,1,1,5,2
447,191,447,19,9,9,3,2
448,159,448,10,7,7,4,2
449,139,449,0,10,10,5,2
450,100,450,7,11,11,0,2
451,183,451,1,9,9,5,2
452,33,452,15,8,8,0,2
453,196,453,5,1,1,3,2
454,42,454,18,1,1,2,2
455,8,455,15,3,3,4,2
456,178,456,12,10,10,2,2
457,124,457,10,3,3,1,2
458,114,458,13,3,3,3,2
459,84,459,18,11,11,2,2
460,92,460,5,4,4,2,2
461,124,461,14,13,13,2,2
462,90,462,6,8,8,2,2
463,63,463,16,11,11,4,2
464,141,464,20,1,1,3,2
465,153,465,20,1,1,0,2
466,118,466,14,6,6,2,2
467,111,467,22,4,4,4,2
468,4,468,17,6,6,4,2
469,125,469,22,2,2,0,2
470,160,470,0,3,3,2,2
471,87,471,10,8,8,3,2
472,195,472,11,2,2,2,2
473,103,473,0,13,13,3,2
474,137,474,3,1,1,3,2
475,140,475,13,3,3,3,2
476,43,476,3,12,12,6,2
477,34,477,3,2,2,6,2
478,68,478,15,5,5,5,2
479,93,479,19,7,7,0,2
480,58,480,13,7,7,4,2
481,89,481,0,13,13,2,2
482,47,482,11,1,1,6,2
483,185,483,19,1,1,2,2
484,82,484,16,10,10,0,2
485,130,485,9,8,8,4,2
486,68,486,3,4,4,6,2
487,90,487,18,1,1,0,2
488,120,488,5,8,8,2,2
489,184,489,3,0,0,5,2
490,154,490,2,11,11,6,2
491,83,491,2,13,13,6,2
492,194,492,1,7,7,0,2
493,72,493,11,1,1,5,2
494,39,494,23,1,1,2,2
495,110,495,1,3,3,0,2
496,99,496,8,7,7,6,2
497,102,497,14,9,9,5,2
498,6,498,13,7,7,2,2
499,27,499,20,10,10,0,2
500,179,500,21,5,5,3,2
501,129,501,14,3,3,0,2
502,182,502,14,9,9,4,2
503,189,503,20,7,7,5,2
504,55,504,18,8,8,4,2
505,67,505,3,10,10,6,2
506,195,506,23,2,2,6,2
507,199,507,7,5,5,1,2
508,179,508,12,4,4,2,2
509,57,509,17,2,2,4,2
510,84,510,0,7,7,0,2
511,64,511,12,5,5,1,2
512,176,512,20,2,2,0,2
513,70,513,8,12,12,0,2
514,31,514,4,9,9,2,2
515,117,515,6,13,13,1,2
516,154,516,23,6,6,0,2
517,94,517,21,7,7,5,2
518,86,518,5,2,2,4,2
519,4,519,14,10,10,5,2
520,45,520,5,8,8,0,2
521,93,521,3,11,11,5,2
522,177,522,12,5,5,6,2
523,85,523,7,8,8,4,2
524,188,524,12,12,12,3,2
525,99,525,0,6,6,5,2
526,200,526,1,9,9,3,2
527,31,527,22,10,10,0,2
528,147,528,15,11,11,0,2
529,16,529,22,9,9,3,2
530,31,530,2,5,5,3,2
531,69,531,1,2,2,2,2
532,116,532,8,8,8,0,2
533,42,533,16,2,2,1,2
534,141,534,18,7,7,0,2
535,114,535,7,1,1,3,2
536,56,536,8,0,0,5,2
537,152,537,22,4,4,3,2
538,73,538,18,4,4,2,2
539,49,539,23,8,8,1,2
540,189,540,15,2,2,3,2
541,6,541,23,9,9,3,2
542,97,542,1,7,7,3,2
543,101,543,8,6,6,6,2
544,25,544,17,2,2,3,2
545,196,545,21,10,10,3,2
546,9,546,5,2,2,4,2
547,115,547,11,3,3,2,2
548,27,548,6,6,6,3,2
549,197,549,13,3,3,2,2
550,195,550,23,2,2,2,2
551,83,551,11,9,9,5,2
552,101,552,19,9,9,2,2
553,50,553,15,1,1,5,2
554,24,554,21,1,1,2,2
555,113,555,1,10,10,4,2
556,46,556,15,6,6,2,2
557,173,557,20,4,4,3,2
558,22,558,18,2,2,2,2
559,198,559,9,3,3,5,2
560,129,560,19,3,3,1,2
561,118,561,6,8,8,4,2
562,112,562,22,8,8,5,2
563,14,563,18,6,6,4,2
564,184,564,0,1,1,5,2
565,38,565,8,10,10,5,2
566,111,566,13,5,5,0,2
567,76,567,17,0,0,4,2
568,112,568,15,13,13,2,2
569,81,569,12,5,5,0,2
570,46,570,4,4,4,2,2
571,99,571,18,12,12,3,2
572,45,572,11,4,4,4,2
573,187,573,4,8,8,5,2
574,105,574,9,7,7,3,2
575,63,575,1,8,8,4,2
576,70,576,0,12,12,3,2
577,194,577,17,1,1,3,2
578,134,578,8,12,12,3,2
579,52,579,22,5,5,0,2
580,175,580,5,2,2,5,2
581,34,581,13,3,3,5,2
582,37,582,21,3,3,0,2
583,123,583,17,12,12,1,2
584,66,584,1,2,2,1,2
585,174,585,6,10,10,2,2
586,142,586,15,9,9,2,2
587,91,587,22,11,11,2,2
588,122,588,16,3,3,5,2
589,110,589,11,9,9,6,2
590,89,590,8,11,11,4,2
591,26,591,12,12,12,2,2
592,110,592,16,13,13,6,2
593,134,593,23,12,12,5,2
594,143,594,5,9,9,1,2
595,98,595,18,12,12,0,2
596,166,596,12,11,11,3,2
597,187,597,11,12,12,2,2
598,112,598,13,8,8,0,2
599,64,599,14,2,2,6,2
600,89,600,13,3,3,2,2
601,95,601,1,3,3,6,2
602,148,602,9,13,13,2,2
603,38,603,14,7,7,4,2
604,65,604,15,4,4,3,2
605,40,605,12,11,11,2,2
606,29,606,18,10,10,5,2
607,140,607,3,3,3,6,2
608,138,608,3,7,7,4,2
609,100,609,5,7,7,2,2
610,32,610,23,1,1,2,2
611,148,611,10,4,4,0,2
612,163,612,0,13,13,0,2
613,67,613,18,2,2,2,2
614,4,614,21,7,7,1,2
615,77,615,8,6,6,3,2
616,48,616,18,6,6,2,2
617,21,617,13,13,13,1,2
618,115,618,6,1,1,0,2
619,128,619,18,7,7,6,2
620,122,620,23,2,2,2,2
621,23,621,9,10,10,3,2
622,3,622,2,10,10,3,2
623,154,623,17,2,2,0,2
624,147,624,18,12,12,0,2
625,162,625,16,5,5,0,2
626,78,626,19,12,12,3,2
627,138,627,20,6,6,0,2
628,10,628,18,10,10,5,2
629,156,629,12,8,8,6,2
630,59,630,22,5,5,4,2
631,183,631,14,11,11,1,2
632,190,632,21,10,10,3,2
633,1,633,20,10,10,0,2
634,6,634,20,7,7,1,2
635,170,635,15,7,7,4,2
636,159,636,11,6,6,6,2
637,170,637,8,3,3,0,2
638,150,638,20,1,1,5,2
639,56,639,2,7,7,6,2
640,42,640,0,4,4,4,2
641,108,641,14,11,11,3,2
642,70,642,4,12,12,2,2
643,163,643,5,7,7,1,2
644,24,644,20,9,9,2,2
645,150,645,6,9,9,0,2
646,136,646,16,7,7,1,2
647,76,647,3,5,5,5,2
648,98,648,4,2,2,6,2
649,164,649,1,2,2,3,2
650,182,650,18,6,6,0,2
651,127,651,21,0,0,5,2
652,109,652,22,6,6,5,2
653,135,653,6,5,5,2,2
654,120,654,14,8,8,1,2
655,24,655,7,12,12,1,2
656,88,656,16,11,11,3,2
657,140,657,9,8,8,0,2
658,155,658,21,3,3,3,2
659,180,659,17,3,3,6,2
660,172,660,21,7,7,2,2
661,31,661,1,7,7,4,2
662,135,662,8,3,3,3,2
663,144,663,21,11,11,5,2
664,190,664,13,3,3,4,2
665,46,665,2,4,4,1,2
666,107,666,0,11,11,1,2
667,111,667,8,11,11,5,2
668,7,668,3,8,8,4,2
669,145,669,14,5,5,2,2
670,78,670,22,5,5,1,2
671,149,671,8,7,7,2,2
672,136,672,11,2,2,3,2
673,163,673,9,4,4,3,2
674,106,674,5,1,1,4,2
675,196,675,4,3,3,5,2
676,133,676,3,2,2,4,2
677,67,677,3,3,3,1,2
678,137,678,17,3,3,2,2
679,96,679,21,5,5,3,2
680,188,680,15,1,1,6,2
681,91,681,2,1,1,3,2
682,115,682,10,10,10,6,2
683,182,683,18,10,10,6,2
684,1,684,20,5,5,6,2
685,68,685,8,11,11,5,2
686,156,686,18,6,6,4,2
687,80,687,11,2,2,1,2
688,117,688,10,5,5,6,2
689,43,689,10,0,0,5,2
690,15,690,15,0,0,5,2
691,200,691,22,2,2,5,2
692,105,692,17,4,4,5,2
693,64,693,10,9,9,3,2
694,51,694,14,5,5,3,2
695,157,695,6,4,4,1,2
696,118,696,20,7,7,5,2
697,152,697,22,8,8,0,2
698,121,698,0,3,3,0,2
699,70,699,15,3,3,2,2
700,117,700,20,8,8,0,2
701,152,701,3,4,4,0,2
702,79,702,21,13,13,6,2
703,151,703,1,4,4,1,2
704,24,704,6,3,3,3,2
705,178,705,2,10,10,3,2
706,46,706,2,4,4,1,2
707,141,707,1,10,10,5,2
708,121,708,3,8,8,4,2
709,163,709,0,4,4,1,2
710,127,710,1,1,1,6,2
711,107,711,4,9,9,1,2
712,195,712,17,2,2,4,2
713,173,713,15,11,11,4,2
714,95,714,17,11,11,5,2
715,59,715,18,9,9,0,2
716,128,716,15,2,2,3,2
717,147,717,20,9,9,2,2
718,82,718,14,6,6,6,2
719,140,719,1,7,7,6,2
720,1,720,4,2,2,1,2
721,113,721,9,8,8,0,2
722,142,722,8,6,6,3,2
723,140,723,13,13,13,2,2
724,190,724,12,9,9,5,2
725,6,725,21,11,11,3,2
726,49,726,16,6,6,0,2
727,113,727,21,0,0,5,2
728,181,728,0,2,2,0,2
729,10,729,18,11,11,1,2
730,96,730,20,4,4,1,2
731,10,731,20,4,4,1,2
732,189,732,19,1,1,2,2
733,112,733,5,10,10,0,2
734,69,734,20,3,3,4,2
735,82,735,6,12,12,3,2
736,61,736,20,6,6,0,2
737,89,737,12,10,10,4,2
738,53,738,8,8,8,4,2
739,68,739,1,9,9,4,2
740,114,740,20,8,8,6,2
741,69,741,0,12,12,5,2
742,12,742,3,11,11,4,2
743,33,743,4,6,6,0,2
744,125,744,2,4,4,5,2
745,179,745,23,4,4,2,2
746,174,746,3,6,6,2,2
747,162,747,19,9,9,0,2
748,198,748,2,12,12,1,2
749,115,749,6,3,3,1,2
750,78,750,5,4,4,4,2
751,189,751,9,8,8,5,2
752,38,752,1,5,5,1,2
753,63,753,7,10,10,0,2
754,143,754,5,8,8,2,2
755,167,755,22,7,7,6,2
756,48,756,4,1,1,1,2
757,169,757,18,9,9,6,2
758,102,758,13,2,2,2,2
759,11,759,2,6,6,0,2
760,81,760,20,11,11,5,2
761,106,761,0,1,1,2,2
762,179,762,19,11,11,6,2
763,120,763,16,10,10,2,2
764,15,764,18,9,9,0,2
765,191,765,3,4,4,1,2
766,163,766,18,4,4,2,2
767,108,767,20,0,0,4,2
768,6,768,4,4,4,4,2
769,159,769,19,5,5,4,2
770,111,770,20,2,2,0,2
771,9,771,15,3,3,0,2
772,13,772,7,9,9,2,2
773,110,773,22,2,2,0,2
774,189,774,15,3,3,1,2
775,86,775,19,2,2,2,2
776,78,776,22,5,5,0,2
777,177,777,23,9,9,6,2
778,2,778,7,7,7,4,2
779,55,779,15,12,12,2,2
780,9,780,4,6,6,4,2
781,6,781,21,5,5,6,2
782,142,782,22,12,12,2,2
783,116,783,10,2,2,4,2
784,92,784,20,4,4,4,2
785,126,785,22,12,12,5,2
786,185,786,18,13,13,0,2
787,143,787,10,1,1,5,2
788,105,788,9,3,3,5,2
789,30,789,0,1,1,4,2
790,176,790,4,10,10,4,2
791,149,791,1,8,8,4,2
792,64,792,1,5,5,0,2
793,68,793,17,11,11,4,2
794,73,794,21,4,4,4,2
795,119,795,19,7,7,6,2
796,190,796,11,5,5,2,2
797,128,797,4,2,2,0,2
798,83,798,20,8,8,5,2
799,61,799,18,8,8,4,2
800,63,800,14,2,2,3,2
801,73,801,22,10,10,1,2
802,58,802,3,2,2,0,2
803,174,803,23,7,7,6,2
804,113,804,19,2,2,4,2
805,78,805,14,6,6,4,2
806,20,806,0,11,11,5,2
807,41,807,10,2,2,5,2
808,118,808,12,2,2,0,2
809,19,809,2,6,6,4,2
810,193,810,19,10,10,0,2
811,4,811,10,5,5,1,2
812,72,812,19,7,7,3,2
813,123,813,21,9,9,4,2
814,148,814,8,4,4,1,2
815,73,815,22,2,2,4,2
816,29,816,11,5,5,6,2
817,81,817,22,5,5,4,2
818,191,818,8,4,4,0,2
819,96,819,13,3,3,2,2
820,171,820,3,2,2,2,2
821,70,821,0,8,8,3,2
822,120,822,20,5,5,6,2
823,106,823,18,0,0,5,2
824,126,824,1,5,5,6,2
825,20,825,2,12,12,5,2
826,165,826,10,11,11,5,2
827,176,827,22,4,4,5,2
828,106,828,0,12,12,3,2
829,128,829,3,7,7,0,2
830,11,830,23,1,1,1,2
831,23,831,20,0,0,5,2
832,83,832,7,6,6,0,2
833,154,833,16,5,5,0,2
834,20,834,5,10,10,0,2
835,116,835,13,12,12,3,2
836,0,836,16,7,7,2,2
837,33,837,14,11,11,0,2
838,78,838,23,2,2,1,2
839,194,839,8,7,7,4,2
840,36,840,23,10,10,6,2
841,18,841,15,9,9,0,2
842,120,842,1,13,13,1,2
843,149,843,21,4,4,5,2
844,142,844,13,8,8,1,2
845,83,845,13,4,4,2,2
846,130,846,3,10,10,0,2
847,74,847,9,3,3,2,2
848,54,848,23,3,3,0,2
849,64,849,2,9,9,0,2
850,165,850,3,3,3,5,2
851,133,851,13,10,10,2,2
852,112,852,5,4,4,1,2
853,3,853,17,12,12,4,2
854,188,854,17,13,13,1,2
855,193,855,14,6,6,2,2
856,154,856,20,8,8,1,2
857,82,857,2,13,13,2,2
858,97,858,23,10,10,3,2
859,67,859,0,7,7,3,2
860,28,860,15,5,5,4,2
861,58,861,8,9,9,3,2
862,94,862,9,6,6,2,2
863,71,863,13,2,2,3,2
864,81,864,13,3,3,2,2
865,99,865,5,5,5,0,2
866,130,866,9,3,3,5,2
867,176,867,10,11,11,4,2
868,133,868,10,12,12,5,2
869,133,869,20,5,5,5,2
